ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,170,0,2437,2442,-70,-80,100
1,170,0,2442,2427,-68,-80,100
1,170,0,2442,2427,-65,-80,100
1,170,0,2442,2442,-68,-80,100
1,170,0,2442,2442,-65,-80,100
1,194,2432,0,2432,-95,-66,100
1,194,2432,0,2432,-95,-65,100
1,194,2432,0,2432,-87,-66,100
1,194,2432,0,2432,-87,-65,100
1,194,2432,0,2437,-95,-67,100
1,194,2432,0,2437,-95,-65,100
1,194,2432,0,2437,-87,-67,100
1,194,2432,0,2437,-87,-65,100
1,122,2432,2437,2437,-67,-73,-90
1,122,2432,2437,2437,-54,-73,-90
1,122,2432,2442,2437,-67,-67,-90
1,122,2432,2442,2437,-54,-67,-90
1,122,2432,2447,2437,-67,-71,-90
1,122,2432,2447,2437,-54,-71,-90
1,164,2432,2437,2432,-62,-75,-84
1,164,2432,2437,2432,-62,-74,-84
1,164,2432,2437,2432,-62,-72,-84
1,164,2432,2437,2432,-62,-70,-84
1,164,2432,2437,2437,-62,-75,-85
1,164,2432,2437,2437,-62,-74,-85
1,164,2432,2437,2437,-62,-72,-85
1,164,2432,2437,2437,-62,-70,-85
1,164,2437,2437,2432,-64,-75,-84
1,164,2437,2437,2432,-64,-74,-84
1,164,2437,2437,2432,-64,-72,-84
1,164,2437,2437,2432,-64,-70,-84
1,164,2437,2437,2437,-64,-75,-85
1,164,2437,2437,2437,-64,-74,-85
1,164,2437,2437,2437,-64,-72,-85
1,164,2437,2437,2437,-64,-70,-85
1,164,2442,2437,2432,-61,-75,-84
1,164,2442,2437,2432,-61,-74,-84
1,164,2442,2437,2432,-61,-72,-84
1,164,2442,2437,2432,-61,-70,-84
1,164,2442,2437,2437,-61,-75,-85
1,164,2442,2437,2437,-61,-74,-85
1,164,2442,2437,2437,-61,-72,-85
1,164,2442,2437,2437,-61,-70,-85
1,102,2447,2432,0,-65,-72,100
1,102,2447,2442,0,-65,-93,100
1,111,2442,2432,2437,-65,-72,-93
1,111,2442,2432,2437,-63,-72,-93
1,111,2442,2442,2437,-65,-76,-93
1,111,2442,2442,2437,-63,-76,-93
1,111,2442,2447,2437,-65,-75,-93
1,111,2442,2447,2437,-63,-75,-93
1,111,2452,2432,2437,-78,-72,-93
1,111,2452,2442,2437,-78,-76,-93
1,111,2452,2447,2437,-78,-75,-93
1,121,2442,2432,0,-66,-72,100
1,121,2442,2432,0,-66,-65,100
1,121,2442,2442,0,-66,-73,100
1,121,2442,2442,0,-66,-70,100
1,142,2442,2432,2432,-61,-72,-88
1,142,2442,2432,2432,-60,-72,-88
1,142,2442,2432,2432,-59,-72,-88
1,142,2442,2442,2432,-61,-69,-88
1,142,2442,2442,2432,-61,-67,-88
1,142,2442,2442,2432,-60,-69,-88
1,142,2442,2442,2432,-60,-67,-88
1,142,2442,2442,2432,-59,-69,-88
1,142,2442,2442,2432,-59,-67,-88
1,156,2442,2432,2437,-50,-71,-87
1,156,2442,2432,2437,-50,-71,-86
1,156,2442,2437,2437,-50,-65,-87
1,156,2442,2437,2437,-50,-65,-86
1,156,2442,2437,2437,-50,-64,-87
1,156,2442,2437,2437,-50,-64,-86
1,156,2442,2442,2437,-50,-63,-87
1,156,2442,2442,2437,-50,-63,-86
1,156,2442,2447,2437,-50,-67,-87
1,156,2442,2447,2437,-50,-67,-86
1,153,2442,2432,2432,-55,-69,-83
1,153,2442,2432,2437,-55,-69,-87
1,153,2442,2432,2437,-55,-69,-86
1,153,2442,2432,2437,-55,-69,-85
1,153,2442,2447,2432,-55,-72,-83
1,153,2442,2447,2437,-55,-72,-87
1,153,2442,2447,2437,-55,-72,-86
1,153,2442,2447,2437,-55,-72,-85
1,103,2437,2432,0,-64,-68,100
1,103,2437,2437,0,-64,-78,100
1,103,2437,2442,0,-64,-70,100
1,103,2447,2432,0,-66,-68,100
1,103,2447,2437,0,-66,-78,100
1,103,2447,2442,0,-66,-70,100
1,145,2437,2432,2437,-64,-67,-95
1,145,2437,2432,2442,-64,-67,-82
1,145,2437,2437,2437,-64,-73,-95
1,145,2437,2437,2442,-64,-73,-82
1,145,2437,2442,2437,-64,-70,-95
1,145,2437,2442,2442,-64,-70,-82
1,165,2442,2432,2437,-60,-67,-83
1,165,2442,2432,2437,-58,-67,-83
1,165,2442,2432,2442,-60,-67,-84
1,165,2442,2432,2442,-60,-67,-82
1,165,2442,2432,2442,-58,-67,-84
1,165,2442,2432,2442,-58,-67,-82
1,165,2442,2437,2437,-60,-69,-83
1,165,2442,2437,2437,-58,-69,-83
1,165,2442,2437,2442,-60,-69,-84
1,165,2442,2437,2442,-60,-69,-82
1,165,2442,2437,2442,-58,-69,-84
1,165,2442,2437,2442,-58,-69,-82
1,113,0,2432,2437,-66,-93,100
1,113,0,2432,2437,-66,-90,100
1,113,0,2432,2437,-66,-89,100
1,113,0,2437,2437,-70,-93,100
1,113,0,2437,2437,-70,-90,100
1,113,0,2437,2437,-70,-89,100
1,113,0,2437,2437,-69,-93,100
1,113,0,2437,2437,-69,-90,100
1,113,0,2437,2437,-69,-89,100
1,113,0,2442,2437,-66,-93,100
1,113,0,2442,2437,-66,-90,100
1,113,0,2442,2437,-66,-89,100
1,159,2442,2432,2437,-50,-66,-84
1,159,2442,2432,2442,-50,-66,-82
1,159,2442,2442,2437,-50,-68,-84
1,159,2442,2442,2442,-50,-68,-82
1,159,2442,2447,2437,-50,-72,-84
1,159,2442,2447,2437,-50,-69,-84
1,159,2442,2447,2442,-50,-72,-82
1,159,2442,2447,2442,-50,-69,-82
1,168,0,2432,2442,-63,-79,100
1,168,0,2442,2442,-61,-79,100
1,169,0,2432,2442,-60,-82,100
1,169,0,2437,2442,-64,-82,100
1,169,0,2437,2442,-63,-82,100
1,148,2452,2432,2437,-59,-55,-86
1,148,2452,2432,2437,-59,-55,-85
1,148,2452,2432,2437,-59,-55,-84
1,148,2452,2432,2442,-59,-55,-87
1,148,2452,2442,2437,-59,-59,-86
1,148,2452,2442,2437,-59,-59,-85
1,148,2452,2442,2437,-59,-59,-84
1,148,2452,2442,2437,-59,-57,-86
1,148,2452,2442,2437,-59,-57,-85
1,148,2452,2442,2437,-59,-57,-84
1,148,2452,2442,2442,-59,-59,-87
1,148,2452,2442,2442,-59,-57,-87
1,130,0,2437,2432,-54,-89,100
1,130,0,2437,2437,-54,-87,100
1,130,0,2452,2432,-71,-89,100
1,130,0,2452,2437,-71,-87,100
1,151,2442,2442,2432,-56,-68,-88
1,151,2442,2442,2432,-54,-68,-88
1,151,2442,2442,2437,-56,-68,-94
1,151,2442,2442,2437,-56,-68,-92
1,151,2442,2442,2437,-56,-68,-90
1,151,2442,2442,2437,-56,-68,-89
1,151,2442,2442,2437,-54,-68,-94
1,151,2442,2442,2437,-54,-68,-92
1,151,2442,2442,2437,-54,-68,-90
1,151,2442,2442,2437,-54,-68,-89
1,151,2442,2447,2432,-56,-71,-88
1,151,2442,2447,2432,-54,-71,-88
1,151,2442,2447,2437,-56,-71,-94
1,151,2442,2447,2437,-56,-71,-92
1,151,2442,2447,2437,-56,-71,-90
1,151,2442,2447,2437,-56,-71,-89
