ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
2,2462,cap1,-82,51,2023-12-13 16:21:03,214,7
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2462,cap2,-56,51,2023-12-13 16:21:03,214,6
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
1,2462,cap2,-56,51,2023-12-13 16:21:03,214,6
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2462,cap2,-56,51,2023-12-13 16:21:03,214,6
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
2,2457,cap2,-58,51,2023-12-13 16:21:03,214,10
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
1,2457,cap2,-52,51,2023-12-13 16:21:03,214,9
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-77,42,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-77,42,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-77,42,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
