channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2417.0,0.0,2412.0,-77.0,0.0,-52.0
0.0,0.0,2412.0,0.0,0.0,-51.0
0.0,0.0,2412.0,0.0,0.0,-51.0
2417.0,2412.0,2412.0,-75.0,-96.0,-52.0
2412.0,0.0,2412.0,-87.0,0.0,-60.0
2417.0,0.0,2412.0,-77.0,0.0,-61.0
2422.0,0.0,2412.0,-82.0,0.0,-63.0
0.0,0.0,2417.0,0.0,0.0,-61.0
2417.0,0.0,2412.0,-82.0,0.0,-65.0
2417.0,2412.0,2412.0,-78.0,-95.0,-60.0
2417.0,0.0,2417.0,-86.0,0.0,-68.0
2412.0,0.0,2412.0,-75.0,0.0,-58.0
2417.0,0.0,2417.0,-85.0,0.0,-54.0
0.0,0.0,2427.0,0.0,0.0,-82.0
2412.0,0.0,2412.0,-82.0,0.0,-58.0
0.0,2412.0,2412.0,0.0,-99.0,-57.0
2412.0,0.0,2417.0,-88.0,0.0,-53.0
2422.0,2412.0,2417.0,-88.0,-92.0,-49.0
2412.0,0.0,2412.0,-81.0,0.0,-63.0
2417.0,0.0,0.0,-76.0,0.0,0.0
0.0,0.0,2417.0,0.0,0.0,-65.0
2417.0,0.0,2412.0,-70.0,0.0,-49.0
2417.0,2412.0,2412.0,-78.0,-96.0,-64.0
2417.0,0.0,2412.0,-77.0,0.0,-54.0
0.0,2412.0,2412.0,0.0,-94.0,-54.0
2417.0,2412.0,2412.0,-76.0,-97.0,-58.0
2417.0,2412.0,2412.0,-78.0,-95.0,-53.0
2417.0,2412.0,2412.0,-81.0,-95.0,-60.0
2417.0,0.0,2412.0,-82.0,0.0,-64.0
2417.0,0.0,2422.0,-71.0,0.0,-52.0
0.0,0.0,2412.0,0.0,0.0,-61.0
0.0,0.0,2422.0,0.0,0.0,-53.0
2412.0,0.0,2417.0,-84.0,0.0,-52.0
2417.0,0.0,2412.0,-81.0,0.0,-59.0
2412.0,2412.0,2412.0,-82.0,-96.0,-56.0
0.0,0.0,2422.0,0.0,0.0,-60.0
2417.0,2412.0,2427.0,-74.0,-95.0,-70.0
2427.0,0.0,2437.0,-74.0,0.0,-52.0
2432.0,2437.0,2432.0,-92.0,-89.0,-45.0
2427.0,2432.0,2447.0,-76.0,-90.0,-65.0
2427.0,0.0,2437.0,-80.0,0.0,-49.0
2427.0,2432.0,2437.0,-77.0,-81.0,-46.0
2432.0,2432.0,2437.0,-83.0,-86.0,-48.0
2432.0,0.0,2432.0,-80.0,0.0,-38.0
2432.0,0.0,2437.0,-77.0,0.0,-54.0
0.0,2432.0,2437.0,0.0,-94.0,-52.0
2422.0,2432.0,2432.0,-84.0,-85.0,-42.0
2432.0,2432.0,2452.0,-84.0,-84.0,-76.0
2422.0,0.0,2437.0,-79.0,0.0,-46.0
2427.0,2432.0,2437.0,-84.0,-88.0,-43.0
2432.0,0.0,2412.0,-80.0,0.0,-67.0
0.0,0.0,2447.0,0.0,0.0,-66.0
2437.0,0.0,2432.0,-83.0,0.0,-42.0
2427.0,2432.0,2432.0,-82.0,-93.0,-39.0
2427.0,2432.0,2437.0,-81.0,-87.0,-36.0
2432.0,2432.0,2437.0,-78.0,-92.0,-41.0
2437.0,2427.0,2437.0,-80.0,-88.0,-50.0
2427.0,2427.0,2437.0,-91.0,-80.0,-44.0
2427.0,2432.0,2447.0,-82.0,-88.0,-67.0
2432.0,2432.0,2447.0,-91.0,-86.0,-64.0
2452.0,2447.0,0.0,-78.0,-71.0,0.0
