timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T
2024-04-11 16:08:19,,-57.0,,
2024-04-11 16:08:21,,-57.0,,
2024-04-11 16:08:23,-69.0,,,-67.0
2024-04-11 16:08:25,-69.0,,,-67.0
2024-04-11 16:08:26,-69.0,,,-67.0
2024-04-11 16:08:27,-66.0,-55.0,-78.0,-65.0
2024-04-11 16:08:29,-66.0,,,-65.0
2024-04-11 16:08:30,-66.0,,,-65.0
2024-04-11 16:08:33,-66.0,,,
2024-04-11 16:08:34,-66.0,,,
2024-04-11 16:08:37,-66.0,,,
2024-04-11 16:08:38,-66.0,,,
2024-04-11 16:08:44,-61.0,,-77.0,
2024-04-11 16:08:46,-61.0,,,
2024-04-11 16:08:47,-61.0,,,
2024-04-11 16:08:53,-65.0,,,
2024-04-11 16:08:54,-65.0,,,
2024-04-11 16:08:55,-65.0,,,
2024-04-11 16:08:57,,,-96.0,
2024-04-11 16:09:01,-65.0,-57.0,,-64.0
2024-04-11 16:09:02,-65.0,,,
2024-04-11 16:09:03,-65.0,,,
2024-04-11 16:09:04,-65.0,,,
2024-04-11 16:09:15,-65.0,,-85.0,
2024-04-11 16:09:16,-65.0,,,
2024-04-11 16:09:18,-65.0,,,
2024-04-11 16:09:19,,,-80.0,
2024-04-11 16:09:25,-61.0,,,-62.0
2024-04-11 16:09:26,-61.0,,,-62.0
2024-04-11 16:09:27,-61.0,,,-62.0
2024-04-11 16:09:29,-66.0,,-83.0,
2024-04-11 16:09:30,-66.0,,,
2024-04-11 16:09:31,-66.0,,,
2024-04-11 16:09:33,-66.0,,,
2024-04-11 16:09:34,-68.0,-53.0,,
2024-04-11 16:09:36,-68.0,,,
2024-04-11 16:09:37,-68.0,,,
2024-04-11 16:09:40,-62.0,,-84.0,-68.0
2024-04-11 16:09:41,-62.0,,,-68.0
2024-04-11 16:09:42,-62.0,,,-68.0
2024-04-11 16:09:44,,,,-65.0
2024-04-11 16:09:45,,,,-65.0
2024-04-11 16:09:46,,,,-65.0
2024-04-11 16:09:48,,,,-65.0
2024-04-11 16:09:49,,,,-65.0
2024-04-11 16:09:50,-66.0,,,-65.0
2024-04-11 16:09:52,-66.0,,,-65.0
2024-04-11 16:10:00,-70.0,,-82.0,
2024-04-11 16:10:01,-70.0,,,-70.0
2024-04-11 16:10:03,-70.0,,,-70.0
2024-04-11 16:10:04,-70.0,,,-70.0
2024-04-11 16:10:05,,-54.0,,
2024-04-11 16:10:09,-70.0,,,
2024-04-11 16:10:11,-70.0,,,
2024-04-11 16:10:12,-70.0,,,
2024-04-11 16:10:13,-69.0,,-71.0,
2024-04-11 16:10:15,-69.0,,,
2024-04-11 16:10:18,-69.0,,,
2024-04-11 16:10:19,-69.0,,,
2024-04-11 16:10:36,,,-81.0,
2024-04-11 16:10:50,-65.0,,,
2024-04-11 16:10:51,-65.0,,,
2024-04-11 16:10:54,-68.0,,,
2024-04-11 16:10:55,-68.0,,,
2024-04-11 16:11:02,,-49.0,,
2024-04-11 16:11:03,,-49.0,,
2024-04-11 16:11:13,-68.0,,,-62.0
2024-04-11 16:11:14,-68.0,,,-62.0
2024-04-11 16:11:15,-68.0,,,
2024-04-11 16:11:16,,,,-62.0
2024-04-11 16:11:18,-66.0,,,-66.0
2024-04-11 16:11:20,-66.0,,,-66.0
2024-04-11 16:11:33,,-56.0,,
2024-04-11 16:11:34,,-56.0,,
2024-04-11 16:11:36,,-56.0,,
2024-04-11 16:11:37,-61.0,-51.0,,-64.0
2024-04-11 16:11:39,-61.0,-51.0,,-64.0
2024-04-11 16:11:41,-69.0,,,-70.0
2024-04-11 16:11:43,-69.0,,,-70.0
2024-04-11 16:11:46,-65.0,,,
2024-04-11 16:11:47,-65.0,,,
2024-04-11 16:11:50,-69.0,,,-63.0
2024-04-11 16:11:51,-69.0,,,-63.0
2024-04-11 16:11:58,-67.0,,,-68.0
2024-04-11 16:11:59,-67.0,,,-68.0
2024-04-11 16:12:06,-70.0,,,
2024-04-11 16:12:07,-70.0,,,
2024-04-11 16:12:10,-68.0,,,
2024-04-11 16:12:11,-68.0,,,
2024-04-11 16:12:13,-63.0,-56.0,-77.0,-62.0
2024-04-11 16:12:14,-63.0,,,
2024-04-11 16:12:15,-63.0,,,
2024-04-11 16:12:22,-62.0,-54.0,,
2024-04-11 16:12:23,-62.0,-54.0,,
2024-04-11 16:12:25,-62.0,-54.0,,
2024-04-11 16:12:26,,-55.0,,-65.0
2024-04-11 16:12:28,,,,-65.0
2024-04-11 16:12:29,,,,-65.0
2024-04-11 16:12:36,,,,-64.0
2024-04-11 16:12:37,,,,-64.0
2024-04-11 16:12:40,-66.0,,-81.0,-69.0
2024-04-11 16:12:41,-66.0,,,-69.0
2024-04-11 16:12:43,,,,-69.0
2024-04-11 16:12:53,-71.0,-53.0,-85.0,
2024-04-11 16:12:58,,,-80.0,
2024-04-11 16:13:19,-64.0,,,
2024-04-11 16:13:21,-64.0,,,
2024-04-11 16:13:23,,,-84.0,-63.0
2024-04-11 16:13:25,,,,-63.0
2024-04-11 16:13:26,,,,-63.0
2024-04-11 16:13:29,-62.0,,-70.0,
2024-04-11 16:13:30,-62.0,,,
2024-04-11 16:13:33,-67.0,,,
2024-04-11 16:13:34,-67.0,,,
2024-04-11 16:13:36,-67.0,,,
2024-04-11 16:13:37,,,-72.0,
2024-04-11 16:13:41,,-52.0,-85.0,
2024-04-11 16:13:46,,,-76.0,
2024-04-11 16:13:50,,-49.0,,-62.0
2024-04-11 16:13:51,,,,-62.0
2024-04-11 16:13:52,,,,-62.0
2024-04-11 16:13:54,-65.0,-54.0,-70.0,-61.0
2024-04-11 16:13:55,-65.0,,,
2024-04-11 16:13:57,-65.0,,,
2024-04-11 16:13:58,,,-77.0,-64.0
2024-04-11 16:13:59,,,,-64.0
2024-04-11 16:14:01,,,,-64.0
2024-04-11 16:14:03,,-54.0,,
2024-04-11 16:14:04,,,,-63.0
2024-04-11 16:14:05,,-54.0,,-63.0
2024-04-11 16:14:12,,-55.0,,
2024-04-11 16:14:13,,-55.0,,
2024-04-11 16:14:14,,-55.0,,
2024-04-11 16:14:17,,,,-62.0
2024-04-11 16:14:18,,,,-62.0
2024-04-11 16:14:21,,,-68.0,
2024-04-11 16:14:24,,-53.0,-89.0,-63.0
