"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-84","32","2023-11-16 14:09:43"
"6A:D2:19:82:06:D2","C2","2422","cap2","-64","32","2023-11-16 14:09:45"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-52","32","2023-11-16 14:09:45"
"AA:3A:2F:0C:11:A6","C11","2452","cap2","-56","32","2023-11-16 14:09:45"
"6A:D2:19:82:06:D2","C2","2412","cap2","-62","32","2023-11-16 14:10:01"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-49","32","2023-11-16 14:10:01"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-55","32","2023-11-16 14:10:01"
"6A:D2:19:82:06:D2","C2","2412","cap1","-83","32","2023-11-16 14:10:07"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-80","32","2023-11-16 14:10:07"
"6A:D2:19:82:06:D2","C2","2422","cap2","-60","32","2023-11-16 14:10:18"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-53","32","2023-11-16 14:10:18"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-58","32","2023-11-16 14:10:18"
"6A:D2:19:82:06:D2","C2","2412","cap1","-89","32","2023-11-16 14:10:24"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-76","32","2023-11-16 14:10:24"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-82","32","2023-11-16 14:10:24"
"6A:D2:19:82:06:D2","C2","2412","cap2","-63","32","2023-11-16 14:10:45"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-53","32","2023-11-16 14:10:45"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-54","32","2023-11-16 14:10:45"
"6A:D2:19:82:06:D2","C2","2417","cap1","-78","32","2023-11-16 14:10:50"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-75","32","2023-11-16 14:10:50"
"6A:D2:19:82:06:D2","C2","2412","cap2","-64","32","2023-11-16 14:11:01"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-60","32","2023-11-16 14:11:01"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-57","32","2023-11-16 14:11:01"
"6A:D2:19:82:06:D2","C2","2417","cap1","-84","32","2023-11-16 14:11:15"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-83","32","2023-11-16 14:11:15"
"6A:D2:19:82:06:D2","C2","2417","cap2","-68","32","2023-11-16 14:11:26"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-72","32","2023-11-16 14:11:26"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-60","32","2023-11-16 14:11:26"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-74","32","2023-11-16 14:11:40"
"6A:D2:19:82:06:D2","C2","2412","cap2","-64","32","2023-11-16 14:11:44"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-57","32","2023-11-16 14:11:44"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-55","32","2023-11-16 14:11:44"
"AA:3A:2F:0C:11:A6","C11","2452","cap1","-75","32","2023-11-16 14:12:07"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-76","32","2023-11-16 14:12:07"
"6A:D2:19:82:06:D2","C2","2417","cap2","-57","32","2023-11-16 14:12:09"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-74","32","2023-11-16 14:12:09"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-70","32","2023-11-16 14:12:09"
"6A:D2:19:82:06:D2","C2","2412","cap2","-65","33","2023-11-16 14:14:35"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-52","33","2023-11-16 14:14:35"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-60","33","2023-11-16 14:14:35"
"6A:D2:19:82:06:D2","C2","2417","cap1","-73","33","2023-11-16 14:14:44"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-75","33","2023-11-16 14:14:44"
"6A:D2:19:82:06:D2","C2","2412","cap2","-62","33","2023-11-16 14:14:52"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-60","33","2023-11-16 14:14:52"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-61","33","2023-11-16 14:14:52"
"6A:D2:19:82:06:D2","C2","2412","cap1","-86","33","2023-11-16 14:15:01"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-71","33","2023-11-16 14:15:01"
"6A:D2:19:82:06:D2","C2","2412","cap2","-71","33","2023-11-16 14:15:09"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-60","33","2023-11-16 14:15:09"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-52","33","2023-11-16 14:15:09"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-77","33","2023-11-16 14:15:17"
