"mac_address","ssid","signal_strength","source","channel","floorid","timestamp"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-69","139","2023-11-10 16:34:38"
"52:39:94:90:76:D2","C10","2427","cap2","-65","139","2023-11-10 16:34:38"
"7A:6B:C2:5A:7B:88","C8","2442","cap2","-71","139","2023-11-10 16:34:38"
"F6:CE:87:F2:06:21","C5","2417","cap1","-59","139","2023-11-10 16:34:54"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-55","139","2023-11-10 16:34:54"
"02:9D:2F:8D:49:90","C6","2422","cap1","-54","139","2023-11-10 16:34:54"
"52:39:94:90:76:D2","C10","2422","cap1","-58","139","2023-11-10 16:34:54"
"7A:6B:C2:5A:7B:88","C8","2447","cap1","-54","139","2023-11-10 16:34:54"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-65","139","2023-11-10 16:34:57"
"F6:CE:87:F2:06:21","C5","2417","cap2","-77","139","2023-11-10 16:34:57"
"52:39:94:90:76:D2","C10","2427","cap2","-72","139","2023-11-10 16:34:57"
"02:9D:2F:8D:49:90","C6","2422","cap2","-74","139","2023-11-10 16:34:57"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-71","139","2023-11-10 16:34:57"
"F6:CE:87:F2:06:21","C5","2412","cap3","-92","139","2023-11-10 16:35:06"
"1E:03:B6:E0:9E:3C","C2","2437","cap3","-88","139","2023-11-10 16:35:06"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-62","139","2023-11-10 16:35:10"
"02:9D:2F:8D:49:90","C6","2422","cap1","-52","139","2023-11-10 16:35:10"
"F6:CE:87:F2:06:21","C5","2422","cap1","-58","139","2023-11-10 16:35:10"
"F6:CE:87:F2:06:21","C5","2417","cap2","-76","139","2023-11-10 16:35:13"
"52:39:94:90:76:D2","C10","2417","cap2","-72","139","2023-11-10 16:35:13"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-62","139","2023-11-10 16:35:13"
"02:9D:2F:8D:49:90","C6","2412","cap2","-72","139","2023-11-10 16:35:13"
"B6:6A:AD:C1:CF:19","C4","2442","cap2","-71","139","2023-11-10 16:35:13"
"02:9D:2F:8D:49:90","C6","2412","cap3","-90","139","2023-11-10 16:35:22"
"F6:CE:87:F2:06:21","C5","2412","cap3","-89","139","2023-11-10 16:35:22"
"52:39:94:90:76:D2","C10","2422","cap3","-87","139","2023-11-10 16:35:22"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-89","139","2023-11-10 16:35:22"
"F6:CE:87:F2:06:21","C5","2417","cap1","-62","139","2023-11-10 16:35:26"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-57","139","2023-11-10 16:35:26"
"02:9D:2F:8D:49:90","C6","2422","cap1","-52","139","2023-11-10 16:35:26"
"52:39:94:90:76:D2","C10","2427","cap1","-54","139","2023-11-10 16:35:26"
"56:3A:A2:F8:0C:63","C3","2442","cap1","-52","139","2023-11-10 16:35:26"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-62","139","2023-11-10 16:35:26"
"F6:CE:87:F2:06:21","C5","2417","cap2","-78","139","2023-11-10 16:35:28"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-68","139","2023-11-10 16:35:28"
"52:39:94:90:76:D2","C10","2427","cap2","-79","139","2023-11-10 16:35:28"
"02:9D:2F:8D:49:90","C6","2417","cap2","-66","139","2023-11-10 16:35:28"
"B6:6A:AD:C1:CF:19","C4","2437","cap2","-75","139","2023-11-10 16:35:28"
"7A:6B:C2:5A:7B:88","C8","2437","cap2","-79","139","2023-11-10 16:35:28"
"F6:CE:87:F2:06:21","C5","2417","cap2","-63","140","2023-11-10 16:36:38"
"02:9D:2F:8D:49:90","C6","2417","cap2","-72","140","2023-11-10 16:36:38"
"52:39:94:90:76:D2","C10","2427","cap2","-69","140","2023-11-10 16:36:38"
"56:3A:A2:F8:0C:63","C3","2447","cap2","-73","140","2023-11-10 16:36:38"
"FE:47:AD:D7:13:E2","C1","2427","cap2","-78","140","2023-11-10 16:36:38"
"7A:6B:C2:5A:7B:88","C8","2447","cap2","-78","140","2023-11-10 16:36:38"
"1E:03:B6:E0:9E:3C","C2","2447","cap2","-76","140","2023-11-10 16:36:38"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-55","140","2023-11-10 16:36:38"
"52:39:94:90:76:D2","C10","2432","cap1","-53","140","2023-11-10 16:36:38"
"02:9D:2F:8D:49:90","C6","2417","cap1","-48","140","2023-11-10 16:36:38"
"F6:CE:87:F2:06:21","C5","2417","cap1","-48","140","2023-11-10 16:36:38"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-61","140","2023-11-10 16:36:38"
"56:3A:A2:F8:0C:63","C3","2452","cap1","-66","140","2023-11-10 16:36:38"
"02:9D:2F:8D:49:90","C6","2412","cap3","-88","140","2023-11-10 16:36:39"
"52:39:94:90:76:D2","C10","2422","cap3","-93","140","2023-11-10 16:36:39"
"02:9D:2F:8D:49:90","C6","2422","cap1","-54","140","2023-11-10 16:36:53"
"F6:CE:87:F2:06:21","C5","2417","cap1","-49","140","2023-11-10 16:36:53"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-56","140","2023-11-10 16:36:53"
"52:39:94:90:76:D2","C10","2427","cap1","-45","140","2023-11-10 16:36:53"
"FE:47:AD:D7:13:E2","C1","2452","cap1","-75","140","2023-11-10 16:36:53"
"7A:6B:C2:5A:7B:88","C8","2452","cap1","-65","140","2023-11-10 16:36:53"
"F6:CE:87:F2:06:21","C5","2412","cap3","-85","140","2023-11-10 16:36:57"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-91","140","2023-11-10 16:36:57"
"56:DE:9D:83:4D:C6","C9","2462","cap3","-91","140","2023-11-10 16:36:57"
"02:9D:2F:8D:49:90","C6","2417","cap2","-77","140","2023-11-10 16:36:57"
"F6:CE:87:F2:06:21","C5","2417","cap2","-65","140","2023-11-10 16:36:57"
"52:39:94:90:76:D2","C10","2422","cap2","-65","140","2023-11-10 16:36:57"
"56:3A:A2:F8:0C:63","C3","2442","cap2","-71","140","2023-11-10 16:36:57"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-79","140","2023-11-10 16:36:57"
